-- Subscribed to OrderBook! --

-- Subscribed to OrderBook! --

-- Subscribed to OrderBook! --

2017-12-13 00:00:13.365255 ETH-USD bid: 214.738 @ 686.81	ask: 149.674 @ 686.82
2017-12-13 00:00:13.388595 ETH-USD bid: 214.568 @ 686.81	ask: 149.674 @ 686.82
2017-12-13 00:00:13.397915 ETH-USD bid: 214.398 @ 686.81	ask: 149.674 @ 686.82
2017-12-13 00:00:13.405046 ETH-USD bid: 208.193 @ 686.81	ask: 149.674 @ 686.82
2017-12-13 00:00:13.413823 ETH-USD bid: 206.811 @ 686.81	ask: 149.674 @ 686.82
2017-12-13 00:00:13.419496 ETH-USD bid: 206.813 @ 686.81	ask: 149.674 @ 686.82
2017-12-13 00:00:13.436466 ETH-USD bid: 206.811 @ 686.81	ask: 149.674 @ 686.82
2017-12-13 00:00:13.470610 ETH-USD bid: 206.811 @ 686.81	ask: 152.021 @ 686.82
2017-12-13 00:00:13.491128 ETH-USD bid: 256.811 @ 686.81	ask: 152.021 @ 686.82
2017-12-13 00:00:13.494261 ETH-USD bid: 256.811 @ 686.81	ask: 152.016 @ 686.82
2017-12-13 00:00:13.500558 ETH-USD bid: 256.811 @ 686.81	ask: 151.871 @ 686.82
2017-12-13 00:00:13.528850 ETH-USD bid: 256.811 @ 686.81	ask: 151.805 @ 686.82
2017-12-13 00:00:13.531163 ETH-USD bid: 256.811 @ 686.81	ask: 151.079 @ 686.82
2017-12-13 00:00:13.547835 ETH-USD bid: 257.111 @ 686.81	ask: 151.079 @ 686.82
2017-12-13 00:00:13.618470 ETH-USD bid: 257.111 @ 686.81	ask: 151.076 @ 686.82
2017-12-13 00:00:13.628838 ETH-USD bid: 257.111 @ 686.81	ask: 150.867 @ 686.82
2017-12-13 00:00:13.632848 ETH-USD bid: 251.371 @ 686.81	ask: 150.867 @ 686.82
2017-12-13 00:00:13.643200 ETH-USD bid: 251.371 @ 686.81	ask: 150.531 @ 686.82
2017-12-13 00:00:13.678301 ETH-USD bid: 251.371 @ 686.81	ask: 148.953 @ 686.82
2017-12-13 00:00:13.715177 ETH-USD bid: 248.867 @ 686.81	ask: 148.953 @ 686.82
2017-12-13 00:00:13.716860 ETH-USD bid: 198.867 @ 686.81	ask: 148.953 @ 686.82
2017-12-13 00:00:13.765343 ETH-USD bid: 198.867 @ 686.81	ask: 148.713 @ 686.82
2017-12-13 00:00:13.860181 ETH-USD bid: 198.867 @ 686.81	ask: 146.575 @ 686.82
2017-12-13 00:00:13.862605 ETH-USD bid: 198.867 @ 686.81	ask: 144.575 @ 686.82
2017-12-13 00:00:13.868272 ETH-USD bid: 198.367 @ 686.81	ask: 144.575 @ 686.82
2017-12-13 00:00:13.926383 ETH-USD bid: 191.087 @ 686.81	ask: 144.575 @ 686.82
2017-12-13 00:00:13.963108 ETH-USD bid: 194.087 @ 686.81	ask: 144.575 @ 686.82
2017-12-13 00:00:13.974110 ETH-USD bid: 219.087 @ 686.81	ask: 144.575 @ 686.82
2017-12-13 00:00:14.349402 ETH-USD bid: 219.087 @ 686.81	ask: 143.659 @ 686.82
2017-12-13 00:00:14.351307 ETH-USD bid: 219.087 @ 686.81	ask: 143.540 @ 686.82
2017-12-13 00:00:14.353148 ETH-USD bid: 219.087 @ 686.81	ask: 143.302 @ 686.82
2017-12-13 00:00:14.362980 ETH-USD bid: 219.087 @ 686.81	ask: 143.115 @ 686.82
2017-12-13 00:00:14.364739 ETH-USD bid: 219.087 @ 686.81	ask: 132.075 @ 686.82
2017-12-13 00:00:14.366435 ETH-USD bid: 219.087 @ 686.81	ask: 123.075 @ 686.82
2017-12-13 00:00:14.372263 ETH-USD bid: 219.087 @ 686.81	ask: 92.727 @ 686.82
2017-12-13 00:00:14.583882 ETH-USD bid: 219.087 @ 686.81	ask: 91.728 @ 686.82
2017-12-13 00:00:15.196355 ETH-USD bid: 218.552 @ 686.81	ask: 91.728 @ 686.82
2017-12-13 00:00:15.721880 ETH-USD bid: 218.552 @ 686.81	ask: 86.504 @ 686.82
2017-12-13 00:00:15.826744 ETH-USD bid: 218.553 @ 686.81	ask: 86.504 @ 686.82
2017-12-13 00:00:15.828304 ETH-USD bid: 221.553 @ 686.81	ask: 86.504 @ 686.82
2017-12-13 00:00:16.440257 ETH-USD bid: 221.553 @ 686.81	ask: 86.453 @ 686.82
2017-12-13 00:00:16.445290 ETH-USD bid: 221.875 @ 686.81	ask: 86.453 @ 686.82
2017-12-13 00:00:17.268183 ETH-BTC bid: 0.005 @ 0.04	ask: 66.662 @ 0.04
2017-12-13 00:00:17.268993 ETH-BTC bid: 0.005 @ 0.04	ask: 65.444 @ 0.04
2017-12-13 00:00:18.059798 ETH-BTC bid: 0.005 @ 0.04	ask: 10.711 @ 0.04
2017-12-13 00:00:18.064108 ETH-BTC bid: 0.005 @ 0.04	ask: 5.351 @ 0.04
