-- Subscribed to OrderBook! --

-- Subscribed to OrderBook! --

2017-12-13 01:22:32.901357 ETH-USD bid: 192.081 @ 666.90	ask: 117.083 @ 666.91
2017-12-13 01:22:32.929481 ETH-USD bid: 192.081 @ 666.90	ask: 97.843 @ 666.91
2017-12-13 01:22:33.323571 ETH-USD bid: 195.081 @ 666.90	ask: 97.843 @ 666.91
2017-12-13 01:22:33.443576 ETH-BTC bid: 6.222 @ 0.04	ask: 80.915 @ 0.04
2017-12-13 01:22:33.477858 ETH-BTC bid: 6.222 @ 0.04	ask: 90.187 @ 0.04
2017-12-13 01:22:33.829727 ETH-USD bid: 195.181 @ 666.90	ask: 97.843 @ 666.91
2017-12-13 01:22:34.841786 ETH-USD bid: 196.181 @ 666.90	ask: 97.843 @ 666.91
2017-12-13 01:22:35.306905 ETH-BTC bid: 6.222 @ 0.04	ask: 94.960 @ 0.04
2017-12-13 01:22:35.486892 ETH-USD bid: 196.181 @ 666.90	ask: 97.694 @ 666.91
2017-12-13 01:22:35.980980 ETH-USD bid: 196.181 @ 666.90	ask: 105.694 @ 666.91
2017-12-13 01:22:36.824456 ETH-USD bid: 196.181 @ 666.90	ask: 105.226 @ 666.91
2017-12-13 01:22:36.850202 ETH-USD bid: 236.690 @ 666.90	ask: 105.226 @ 666.91
2017-12-13 01:22:37.091764 ETH-BTC bid: 4.588 @ 0.04	ask: 94.960 @ 0.04
2017-12-13 01:22:37.163708 ETH-USD bid: 85.690 @ 666.90	ask: 105.226 @ 666.91
2017-12-13 01:22:37.258502 ETH-USD bid: 85.690 @ 666.90	ask: 124.466 @ 666.91
2017-12-13 01:22:37.437287 ETH-USD bid: 85.690 @ 666.90	ask: 133.466 @ 666.91
2017-12-13 01:22:37.912952 ETH-BTC bid: 4.588 @ 0.04	ask: 97.960 @ 0.04
2017-12-13 01:22:38.161260 ETH-USD bid: 84.690 @ 666.90	ask: 133.466 @ 666.91
2017-12-13 01:22:39.293737 ETH-USD bid: 84.690 @ 666.90	ask: 114.226 @ 666.91
2017-12-13 01:22:39.323889 ETH-USD bid: 235.690 @ 666.90	ask: 114.226 @ 666.91
2017-12-13 01:22:39.824509 ETH-USD bid: 195.181 @ 666.90	ask: 114.226 @ 666.91
2017-12-13 01:22:39.877062 ETH-USD bid: 195.181 @ 666.90	ask: 112.012 @ 666.91
2017-12-13 01:22:40.072720 ETH-USD bid: 197.251 @ 666.90	ask: 112.012 @ 666.91
2017-12-13 01:22:40.116048 ETH-USD bid: 197.251 @ 666.90	ask: 65.000 @ 666.91
2017-12-13 01:22:40.698448 ETH-USD bid: 197.251 @ 666.90	ask: 65.172 @ 666.91
2017-12-13 01:22:41.076435 ETH-USD bid: 197.251 @ 666.90	ask: 64.873 @ 666.91
2017-12-13 01:22:41.191591 ETH-USD bid: 197.251 @ 666.90	ask: 72.873 @ 666.91
2017-12-13 01:22:41.378860 ETH-USD bid: 197.251 @ 666.90	ask: 75.815 @ 666.91
2017-12-13 01:22:41.519130 ETH-USD bid: 199.251 @ 666.90	ask: 75.815 @ 666.91
2017-12-13 01:22:41.536085 ETH-USD bid: 199.251 @ 666.90	ask: 75.665 @ 666.91
2017-12-13 01:22:41.838627 ETH-USD bid: 202.251 @ 666.90	ask: 75.665 @ 666.91
2017-12-13 01:22:41.965134 ETH-USD bid: 203.251 @ 666.90	ask: 75.665 @ 666.91
2017-12-13 01:22:42.437486 ETH-USD bid: 203.251 @ 666.90	ask: 75.165 @ 666.91
2017-12-13 01:22:42.548329 ETH-USD bid: 203.251 @ 666.90	ask: 82.442 @ 666.91
2017-12-13 01:22:43.070378 ETH-USD bid: 202.251 @ 666.90	ask: 82.442 @ 666.91
2017-12-13 01:22:43.791304 ETH-USD bid: 204.251 @ 666.90	ask: 82.442 @ 666.91
2017-12-13 01:22:44.210654 ETH-USD bid: 190.900 @ 666.90	ask: 82.442 @ 666.91
2017-12-13 01:22:44.218412 ETH-USD bid: 180.900 @ 666.90	ask: 82.442 @ 666.91
2017-12-13 01:22:44.232561 ETH-USD bid: 175.900 @ 666.90	ask: 82.442 @ 666.91
2017-12-13 01:22:44.236259 ETH-USD bid: 174.170 @ 666.90	ask: 82.442 @ 666.91
2017-12-13 01:22:44.247891 ETH-USD bid: 164.170 @ 666.90	ask: 82.442 @ 666.91
2017-12-13 01:22:44.254367 ETH-USD bid: 161.170 @ 666.90	ask: 82.442 @ 666.91
2017-12-13 01:22:44.257854 ETH-USD bid: 161.070 @ 666.90	ask: 82.442 @ 666.91
2017-12-13 01:22:44.269334 ETH-USD bid: 10.070 @ 666.90	ask: 82.442 @ 666.91
2017-12-13 01:22:44.272760 ETH-USD bid: 8.000 @ 666.90	ask: 82.442 @ 666.91
2017-12-13 01:22:44.280154 ETH-USD bid: 6.000 @ 666.90	ask: 82.442 @ 666.91
